mass,Int
735.4231567,51637.4
735.4729614,56402.5
735.5228271,40054.8
735.5726318,23189.5
735.6224365,14650.1
735.6722412,11660.9
735.7221069,10666.6
735.7719116,10636.2
735.8217163,10761
735.871521,10556
735.9213867,10460.9
735.9711914,10083.1
736.0209961,9679.03
736.0708008,9199.15
736.1206665,9156.47
736.1704712,9596.29
736.2202759,11251.4
736.2700806,17644.2
736.3198853,34867.2
736.369751,58044.1
736.4195557,60689.6
736.4693604,54411.4
736.519165,40564.7
736.5690308,26877.2
736.6188354,16677
736.6686401,12876.1
736.7184448,11346.4
736.7683105,10976.7
736.8181152,10935.8
736.8679199,10523.7
736.9177246,10057
736.9675903,9875.61
737.017395,9626.62
737.0671997,9355.09
737.1170044,9262.15
737.1668701,9587.47
737.2166748,10533.4
737.2664795,13443.3
737.3162842,22808.1
737.3660889,44158.9
737.4159546,68586.4
737.4657593,75537.8
737.515564,49292.3
737.5653687,27371.3
737.6152344,16676.9
737.6650391,12636.7
737.7148438,11410.8
737.7646484,10857.2
737.8145142,10721.5
737.8643188,10597.4
737.9141235,10446.4
737.9639282,10358.9
738.0137939,9991.22
738.0635986,9678.98
738.1134033,9898.9
738.163208,10730.3
738.2130737,12917.5
738.2628784,18720.2
738.3126831,38753.2
738.3624878,94206.8
738.4122925,143577
738.4621582,128574
738.5119629,82126.3
738.5617676,44892
738.6115723,23516.2
738.661438,16200.2
738.7112427,13340.9
738.7610474,12149.9
738.8108521,11652.1
738.8607178,11266.9
738.9105225,11168.9
738.9603271,10862.4
739.0101318,10509.2
739.0599976,10069.5
739.1098022,9861.88
739.1596069,9998.61
739.2094116,10932.6
739.2592773,14873.4
739.309082,31049.5
739.3588867,69142.9
739.4086914,103928
739.4584961,114612
739.5083618,84295.5
739.5581665,43623.7
739.6079712,23136.9
739.6577759,15572.6
739.7076416,12624.8
739.7574463,11587.5
739.807251,11115.7
739.8570557,10841.8
739.9069214,10846.2
739.9567261,10611.6
740.0065308,10357.9
740.0563354,10209.2
740.1062012,10048.1
740.1560059,10198.4
740.2058105,11139.5
740.2556152,14364.4
740.3054199,24386.6
740.3552856,44337.8
740.4050903,70003.6
740.454895,74737.5
740.5046997,55797.6
740.5545654,38756.4
740.6043701,25713.9
740.6541748,16198.3
740.7039795,12566.4
740.7538452,11228.8
740.8036499,10828.3
